timecode	yday	degC	Pa	pressAltComp
1530502914	182	21.3	101332	-0.8325130435306272
1530503414	182	21.3	101333	0.0
1530503914	182	21.3	101323	-0.0832542980093165
1530504414	182	21.3	101313	0.8325795736961727
1530504914	182	21.3	101318	0.5827987152137848
1530505414	182	21.4	101318	0.7493186221308923
1530505914	182	21.4	101328	-0.24976089818361746
1530506414	182	21.4	101334	-0.749264732690107
1530506914	182	21.4	101342	-0.9990076696626327
1530507414	182	21.4	101342	-1.0822539849738044
1530507914	182	21.4	101342	-1.8314408926689763
1530508414	182	21.3	101339	-1.4152325949067857
1530508914	182	21.2	101342	-1.664959568766653
1530509414	182	21.1	101334	-1.165499635157743
1530509914	182	21.1	101334	-1.2487446201947616
1530510414	182	21.0	101330	-0.9990076696626327
1530510914	182	21.0	101337	-1.331988940104547
1530511414	182	21.0	101337	-0.4995158089818874
1530511914	182	21.0	101321	0.41628146983422876
1530512414	182	21.0	101332	-0.16650793074375114
1530512914	182	21.0	101330	-0.9990076696626327
1530513414	182	21.0	101324	0.0
1530513914	182	21.0	101332	-0.41626483728792074
1530514414	182	21.0	101331	0.0
1530514914	182	20.9	101337	-0.9990076696626327
1530515414	182	20.9	101328	-0.4995158089818874
1530515914	182	20.9	101329	-0.24976089818361746
1530516414	182	20.9	101329	-0.0832542980093165
1530516914	182	20.9	101336	-0.8325130435306272
1530517414	182	20.9	101341	-1.165499635157743
1530517914	182	20.8	101329	-0.3330132003682884
1530518414	182	20.8	101336	-0.8325130435306272
1530518914	182	20.8	101332	-0.666015756663294
1530519414	182	20.8	101326	-0.0832542980093165
1530519914	182	20.9	101331	-0.24976089818361746
1530520414	182	21.0	101334	-0.749264732690107
1530520914	182	21.0	101334	-0.24976089818361746
1530521414	182	21.0	101332	-0.41626483728792074
1530521914	182	21.0	101330	-0.41626483728792074
1530522414	182	21.0	101325	0.16651059194663254
1530522914	182	21.0	101325	0.08325496331864968
1530523414	182	21.0	101328	-0.16650793074375114
1530523914	182	20.9	101317	0.08325496331864968
1530524414	182	21.0	101328	0.0
1530524914	182	21.0	101324	0.33302384519457884
1530525414	182	21.0	101324	0.0
1530525914	182	20.9	101321	0.33302384519457884
1530526414	182	20.9	101322	0.33302384519457884
1530526914	182	20.9	101322	0.08325496331864968
1530527414	182	20.9	101321	0.0
1530527914	182	20.9	101321	0.5827987152137848
1530528414	182	20.9	101309	0.8325795736961727
1530528914	182	20.8	101306	1.8317628986901002
1530529414	182	20.8	101306	2.0815737043115847
1530529914	182	20.8	101303	2.1648453040301696
1530530414	182	20.8	101306	1.4154248670991898
1530530914	182	20.8	101296	2.8310420647857892
